user_id,passenger_name,source,destination,booking_time,travel_time,seat_type,payment_method,payment_status,booking_count_last_24hrs,used_flag,ticket_status,device_id,ip_address,travel_distance,otp_attempts,failed_payments_count,is_fraud
4074,User_4074,Pune,Kolkata,2026-01-29 09:15,2026-01-29 13:15,First Class,Net Banking,SUCCESS,8,0,active,DEV0002,192.168.5.6,983,0,2,1
2684,User_2684,Jaipur,Lucknow,2026-03-10 09:50,2026-04-04 19:50,First Class,Debit Card,SUCCESS,3,0,active,DEV0181,192.168.13.8,413,0,0,0
9785,User_9785,Pune,Jaipur,2026-01-26 06:22,2026-01-27 09:22,First Class,Debit Card,SUCCESS,3,0,active,DEV0220,192.168.9.8,300,0,0,0
7232,User_7232,Bangalore,Jaipur,2026-04-22 03:08,2026-05-10 15:08,Business,Net Banking,SUCCESS,3,0,active,DEV0058,192.168.5.11,527,0,0,0
7912,User_7912,Bangalore,Hyderabad,2026-05-12 02:35,2026-05-22 13:35,General,UPI,SUCCESS,2,0,completed,DEV0047,192.168.19.8,662,1,0,0
3497,User_3497,Bangalore,Jaipur,2026-04-22 17:02,2026-04-22 22:02,Business,Net Banking,SUCCESS,6,0,active,DEV0032,192.168.14.10,248,5,0,1
6355,User_6355,Kolkata,Chennai,2026-03-16 22:12,2026-03-25 06:12,Sleeper,Wallet,SUCCESS,3,0,active,DEV0165,192.168.18.12,1545,1,0,0
3977,User_3977,Delhi,Hyderabad,2026-05-07 07:50,2026-05-21 15:50,AC,UPI,SUCCESS,2,0,active,DEV0054,192.168.17.10,1177,1,0,0
4770,User_4770,Ahmedabad,Hyderabad,2026-03-23 03:34,2026-04-16 07:34,Sleeper,Debit Card,SUCCESS,1,0,cancelled,DEV0234,192.168.10.9,1701,0,0,0
3925,User_3925,Lucknow,Kolkata,2026-03-11 06:38,2026-03-22 10:38,First Class,Wallet,SUCCESS,3,0,active,DEV0044,192.168.16.14,1352,1,0,0
2889,User_2889,Mumbai,Bangalore,2026-04-23 20:04,2026-05-06 02:04,AC,Net Banking,SUCCESS,3,0,active,DEV0131,192.168.8.3,980,1,0,0
